ASX Listed Companies (1 June 2019),,,,,,,
Code,Company,Sector,Market Cap,Weight(%),,Total Index Market Cap,
BPL,Broken Hill Prospect,Materials,"2,957,670",0.000,,,
BPP,Babylon Pump & Power,Industrials,"6,336,230",0.000,,,
BPT,Beach Energy Limited,Energy,"4,135,020,000",0.191,,,
BRB,Breaker Res NL,Materials,"70,272,900",0.003,,,
BRG,Breville Group Limited,Consumer Discretionary,"2,196,010,000",0.102,,,
BRI,Big RIV Indust Limited,Materials,"52,986,300",0.002,,,
BRK,Brookside Energy Limited,Energy,"10,991,400",0.001,,,
BRL,Bathurst Res Limited,Materials,"198,579,000",0.009,,,
BRN,Brainchip Limited,Information Technology,"54,593,900",0.003,,,
BRU,Buru Energy,Energy,"133,943,000",0.006,,,
BSA,BSA Limited,Industrials,"119,908,000",0.006,,,
BSE,Base Res Limited,Materials,"285,823,000",0.013,,,
BSL,Bluescope Steel Limited,Materials,"5,546,000,000",0.257,,,
BSM,Bass Metals Limited,Materials,"22,479,000",0.001,,,
BSN,Bisan Limited,Financials,"519,422",0.000,,,
BSP,Black Star Petroleum,Energy,"1,295,030",0.000,,,
BSR,Bassari Resources,Materials,"38,884,000",0.002,,,
BST,Barrack ST Invest,,"17,219,000",0.001,,,
BSX,Blackstone Limited,Materials,"9,165,360",0.000,,,
BTC,BTC Health Limited,,"17,024,500",0.001,,,
BTH,Bigtincan Holdings Limited,Information Technology,"136,467,000",0.006,,,
BTI,Bailador Tech INV,Financials,"117,843,000",0.005,,,
BUB,Bubs Aust Limited,Consumer Staples,"614,056,000",0.028,,,
BUD,Buddy Tech,Information Technology,"93,774,600",0.004,,,
BUG,Buderim Group Limited,Consumer Staples,"17,204,400",0.001,,,
BUX,Buxton Resources Limited,Materials,"16,326,700",0.001,,,
BUY,Bounty Oil & Gas NL,Energy,"2,860,200",0.000,,,
BVS,Bravura Solution Limited,Information Technology,"1,373,920,000",0.064,,,
BWF,Blackwall Limited,Financials,"51,622,600",0.002,,,
BWP,BWP Trust Ordinary Units FP,Real Estate,"2,312,580,000",0.107,,,
BWR,Blackwall Prop Trust Ordinary Units FP,Real Estate,"207,922,000",0.010,,,
BWX,BWX Limited,Consumer Staples,"205,634,000",0.010,,,
BXB,Brambles Limited,Industrials,"19,312,100,000",0.894,,,
BXN,Bioxyne Limited,Consumer Staples,"10,242,300",0.000,,,
BYE,Byron Energy Limited,Energy,"208,612,000",0.010,,,
BYH,Bryah Resources Limited,Materials,"3,685,280",0.000,,,
BYI,Beyond International,Consumer Discretionary,"49,069,600",0.002,,,
C6C,Copper Mountain,Materials,"22,455,200",0.001,,,
CA8,Coassets Limited,Financials,"18,698,500",0.001,,,
CAA,Capral Limited,Materials,"55,705,000",0.003,,,
CAD,Caeneus Minerals,Materials,"3,723,930",0.000,,,
